c-barq N,question,c-barq(s) N,question,c-barq(RU) N,question
53,When unfamiliar dogs visit your home.,,,52,Когда незнакомую собаку приводят к вам в гости или вы просто открываете дверь человеку с незнакомой собакой.
54,"When barked, growled, or lunged at by an unfamiliar dog.",19,"When barked, growled, or lunged at by an unfamiliar dog.",53,"Когда незнакомая собака лает, рычит или бросается."
55,"Shaking, shivering, or trembling.",,,54,Дрожит от страха.
56,Excessive salivation.,,,55,Чрезмерное слюноотделение.
57,"Restlessness, agitation, or pacing.",22,Restlessness/agitation/pacing.,56,"Нервничает, беспокоится, взволнована, напряжённо суетится, часто дышит или ходит туда-сюда."
58,Whining.,23,Barking or whining.,57,Скулит.
59,Barking.,23,Barking or whining.,58,Лает.
60,Howling.,,,59,Воет.
61,"Chewing or scratching at doors, floor, windows, curtains, etc.",24,"Chewing/scratching at doors, floor, windows, curtains, etc.",60,"Грызёт или царапает дверь, пол, окно, шторы и т.д."
62,Loss of appetite.,,,61,Отказывается от еды.
63,When you or other members of the household come home after a brief absence.,,,62,Когда вы или другие члены вашей семьи приходите домой после короткого отсутствия.
64,When playing with you or other members of your household.,,,63,Когда собака играет с вами или другими членами вашей семьи.
65,When doorbell rings.,,,64,Когда звенит дверной звонок.
66,Just before being taken for a walk.,1,Just before being taken for a walk.,65,Незадолго до прогулки.
67,Just before being taken on a car trip.,2,Just before being taken on a car trip.,66,Незадолго до автомобильной поездки.
68,When visitors arrive at your home.,,,67,Когда к вам приходят гости.
69,Displays a strong attachment for one particular member of the household.,,,68,Демонстрирует сильную привязанность к одному конкретному члену семьи.
70,"Tends to follow you (or other members of the household) about the house, from room to room.",25,"Tends to follow you (or other members of the household) about the house, from room to room.",69,"Любит следовать за вами (или другими членами семьи) по дому, из комнаты в комнату."
71,"Tends to sit close to, or in contact with, you (or others) when you are sitting down.",26,"Tends to sit close to, or in contact with, you (or others) when you are sitting down.",70,"Как правило, сидит или лежит рядом с вами (или рядом с другим человеком), а, может быть, у вас на коленях или кладёт на них голову, или каким-нибудь другим способом поддерживает физический контакт, когда вы сидите."
72,"Tends to nudge, nuzzle or paw you (or others) for attention when you are sitting down.",,,71,"Как правило, трётся, тычет вас (или других) носом или трогает лапой, чтобы привлечь внимание, когда вы сидите."
73,"Becomes agitated (whines, jumps up, tries to intervene) when you (or others) show affection for another person.",,,72,"Становится возбужденным (скулит, вскакивает, пытается помешать), когда вы (или другие) проявляют расположение к другому человеку."
74,"Becomes agitated (whines, jumps up, tries to intervene) when you (or others) show affection for another dog or animal.",,,73,"Становится возбужденным (скулит, вскакивает, пытается помешать), когда вы (или другие) проявляют расположение к другой собаке или какому-нибудь животному."
75,Chases or would chase cats given the opportunity.,,,74,"Гоняется за кошками или погонится, как только представится возможность."
76,Chases or would chase birds given the opportunity.,30,"Chases or would chase birds, given the chance.",75,"Гоняется за птицами или погонится, как только представится возможность."
77,"Chases or would chase squirrels, rabbits and other small animals given the opportunity.",31,"Chases or would chase squirrels, rabbits, etc., given the chance.",76,"Гоняется за белками, кроликами и другими мелкими животными или погонится, как только представится возможность."
78,Escapes or would escape from home or yard given the chance.,32,"Escapes or would escape from home or yard, given the chance.",77,"Убегает из дому или из сада, или убежит, если представится такая возможность."
79,"Rolls in animal droppings or other ""smelly"" substances.",,,78,Может изваляться в фекалиях или в чём-то вонючем.
80,Eats own or other animals' droppings or feces.,,,79,Ест фекалии (свои или каких-нибудь других животных).
81,Chews inappropriate objects.,33,Chews inappropriate objects.,80,"Грызёт предметы, которые не предназначены для этого."
82,"""Mounts"" objects, furniture, or people.",,,81,"Делает садки на вещи, мебель и людей (например, ноги), как при половом поведении."
83,Begs persistently for food when people are eating.,,,82,"Если люди едят, то, не переставая, выпрашивает."
84,Steals food.,,,83,Крадёт еду со стола.
85,Nervous or frightened on stairs.,,,84,"Нервничает или боится, когда поднимается или спускается по лестнице."
86,Pulls excessively hard when on the leash.,34,Pulls excessively hard when on the leash.,85,Очень сильно тянет поводок.
87,Urinates against objects/furnishings in your home.,35,Urinates against objects/furnishings in your home.,86,Мочится на вещи или мебель в вашем доме.
88,"Urinates when approached, petted, handled or picked up.",,,87,"Мочится, когда кто-нибудь подходит, гладит, треплет, или берёт на руки."
89,"Urinates when left alone at night, or during the daytime.",36,"Urinates when left alone at night, or during the daytime.",88,"Мочится, когда собаку оставляют одну ночью или днём."
90,"Defecates when left alone at night, or during the daytime.",37,"Defecates when left alone at night, or during the daytime.",89,"Испражняется, когда собаку оставляют одну ночью или днём."
91,"Hyperactive, restless, has trouble settling down.",38,"Hyperactive, restless, has trouble settling down.",90,"Гиперактивный, неугомонный, с трудом успокаивается."
92,"Playful, puppyish, boisterous.",39,"Playful, puppyish, boisterous.",91,"Игривый, шумный, ведёт себя как щенок."
93,"Active, energetic, always on the go.",40,"Active, energetic, always on the go.",92,"Активный, энергичный, всегда в движении."
94,Stares intently at nothing visible.,,,93,"Бывает, внимательно смотрит в пустоту."
95,Snaps at (invisible) flies.,,,94,"Клацает зубами, ловя невидимых мух."
96,Chases own tail/hind end.,41,Chases own tail/hind end.,95,Гоняется за своим хвостом.
97,"Chases/follows shadows, light spots, etc.",,,96,"Гоняется или ходит за тенями, солнечными зайчиками и т.д."
98,Barks persistently when alarmed or excited.,42,Barks persistently when alarmed or excited.,97,"Не переставая, лает, если встревожен или возбуждён."
99,Licks him/herself excessively.,,,98,Чрезмерно вылизывается.
100,Licks people or objects excessively.,,,99,Лижет людей и предметы.
101,"Displays other bizarre, strange, or repetitive behavior(s).",,,100,"Проявляет другие виды причудливого, странного, или повторяющегося (стереотипного) поведения."
